what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1463290073902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290080985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290082243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290092401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290092421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290093071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290093645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290096574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290097272
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1463290097315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1463290120685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1463290143674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290144806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290149679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1463290152552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290153196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290395118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1463290422508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1463290433818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1463290434228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1463290434608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1463290448118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1463290458138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1463290460288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1463290621838
